index	sentence1	sentence2	label
0	Ainda não foram encontradas armas de destruição em massa no Iraque.	Armas de destruição em massa encontradas no Iraque.	not_entailment
1	Um lugar de tristeza, após a morte do Papa João Paulo II, tornou-se um local de celebração, quando fiéis católicos romanos se reuniram no centro de Chicago para marcar a instalação do novo Papa Bento XVI.	O Papa Bento XVI é o novo líder da Igreja Católica Romana.	entailment
2	O Herceptin já foi aprovado para tratar as pacientes com câncer de mama mais doentes, e a empresa afirmou, nesta segunda-feira, que discutirá com os reguladores federais a possibilidade de prescrever o medicamento para mais pacientes com câncer de mama.	Herceptin pode ser usado para tratar câncer de mama.	entailment
3	Judie Vivian, diretora executiva da ProMedica, empresa de serviços médicos que ajuda a sustentar o Vietnam Heart Institute, de 2 anos de idade, na cidade de Ho Chi Minh (antiga Saigon), disse que até agora cerca de 1.500 crianças receberam tratamento.	O nome anterior da cidade de Ho Chi Minh era Saigon.	entailment
4	Um homem deve ser julgado mais tarde, acusado pelo assassinato, há 26 anos, de um adolescente cujo caso foi o primeiro a ser apresentado no Crimewatch da BBC One. Colette Aram, 16, estava caminhando para a casa do namorado em Keyworth, Nottinghamshire, em 30 de outubro de 1983, quando desapareceu. Seu corpo foi encontrado mais tarde em um campo perto de sua casa. Paul Stewart Hutchinson, 50, foi acusado de assassinato e deve comparecer perante os magistrados de Nottingham mais tarde.	Paul Stewart Hutchinson é acusado de ter esfaqueado uma garota.	not_entailment
5	A Grã-Bretanha disse, sexta-feira, que proibiu o clérigo Omar Bakri de retornar ao país do Líbano, onde foi libertado pela polícia após ser detido por 24 horas.	Bakri foi detido brevemente, mas foi libertado.	entailment
6	Quase 4 milhões de crianças que têm pelo menos um dos pais que entraram ilegalmente nos EUA nasceram nos Estados Unidos e são cidadãos dos EUA como resultado, de acordo com o estudo realizado pelo Pew Hispanic Center. Isso representa cerca de três quartos dos estimados 5,5 milhões de crianças de imigrantes ilegais nos Estados Unidos, segundo o estudo. Cerca de 1,8 milhão de crianças de imigrantes sem documentos vivem na pobreza, segundo o estudo.	Três quartos dos imigrantes ilegais dos EUA têm filhos.	not_entailment
7	Como os Estados Unidos, as autoridades da ONU também estão consternadas com o fato de Aristide ter matado uma conferência convocada pelo Primeiro Ministro Robert Malval em Porto Príncipe, na esperança de reunir todas as partes em conflito.	Aristide assassinou o primeiro-ministro Robert Malval em Porto Príncipe.	not_entailment
8	WASHINGTON - Uma narrativa recentemente desclassificada dos conselhos do governo Bush à CIA sobre duros interrogatórios mostra que o pequeno grupo de advogados do Departamento de Justiça que escreveram memorandos autorizando técnicas controversas de interrogatório estavam operando não sozinhos, mas sob a direção de altos funcionários do governo, inclusive na época. -Presidente Dick Cheney e assessora de segurança nacional Condoleezza Rice. Ao mesmo tempo, a narrativa sugere que o então secretário de Defesa Donald H. Rumsfeld e o então secretário de Estado Colin Powell foram deixados de fora do processo de tomada de decisão.	Dick Cheney foi o vice-presidente de Bush.	entailment
9	Apenas uma semana depois de não ter comentado o aumento da capacidade de armazenamento de seu serviço de e-mail Hotmail, a Microsoft anunciou na quinta-feira que estava aumentando a permissão para 250 MB para seguir movimentos semelhantes de rivais como Google, Yahoo e Lycos.	O Hotmail da Microsoft aumentou sua capacidade de armazenamento para 250 MB.	entailment
10	Lina Joy, 42 anos, nasceu Azlina Jailani, filha de pais malaios, e foi criada como muçulmana. A constituição da Malásia garante a liberdade de religião, mas por lei, todos os malaios étnicos são muçulmanos. A alegria se converteu ao cristianismo aos 26 anos e, depois de algumas dificuldades burocráticas, ela teve seu nome alterado legalmente em 1999. No entanto, em seu documento de identidade nacional MyKad, o Departamento de Registro Nacional manteve sua religião declarada como islã. Para mudar sua religião, o Departamento de Registro Nacional disse que Joy teria que obter um certificado de apostasia da Corte Muçulmana da Sharia.	Os pais de Lina Joy são da Malásia.	entailment
11	9 de novembro de 1989, o dia em que o Muro de Berlim caiu e o mundo mudou para sempre. Nem os mais astutos viram isso acontecer. Como ministro das Relações Exteriores da Hungria, no final do verão de 1989, Gyula Horn deu a ordem para permitir que os alemães orientais visitantes usassem seu país para fazer uma corrida de 400 milhas ao redor do Muro de Berlim, um movimento agora visto como o começo do fim para comunismo de linha na Europa.	O Muro de Berlim foi demolido em 1989.	entailment
12	A Valero Energy Corp., na segunda-feira, disse ter encontrado danos adicionais "extensos" em sua refinaria de Port Arthur, com 250.000 barris / dia.	A Valero Energy Corp. produz 250.000 barris por dia.	entailment
13	Os preços do petróleo recuam quando a ameaça do petróleo Yukos aumentou	Os preços do petróleo aumentam.	not_entailment
14	Brian Brohm, o quarterback de Louisville, jogou 368 jardas e cinco touchdowns enquanto o Cardinals batia em Oregon State 63-27.	O quarterback jogou 413 jardas e três touchdowns e depois correu para a end zone mais duas vezes.	not_entailment
