index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
0	main-captions	MSRvid	2012test	1	none	none	Um avião está decolando.	Um avião está decolando.	5.0
1	main-captions	MSRvid	2012test	4	none	none	Um homem está tocando uma flauta grande.	Um homem está tocando uma flauta.	3.8
2	main-captions	MSRvid	2012test	5	none	none	Um homem está espalhando queijo ralado em uma pizza.	Um homem está espalhando queijo ralado em uma pizza não cozida.	3.8
3	main-captions	MSRvid	2012test	6	none	none	Três homens estão jogando xadrez.	Dois homens estão jogando xadrez.	2.6
4	main-captions	MSRvid	2012test	9	none	none	Um homem está tocando violoncelo.	Um homem sentado está tocando violoncelo.	4.25
5	main-captions	MSRvid	2012test	11	none	none	Alguns homens estão brigando.	Dois homens estão brigando.	4.25
6	main-captions	MSRvid	2012test	12	none	none	Um homem está fumando.	Um homem está patinando.	0.5
7	main-captions	MSRvid	2012test	13	none	none	O homem está tocando piano.	O homem está tocando violão.	1.6
8	main-captions	MSRvid	2012test	14	none	none	Um homem está tocando um violão e cantando.	Uma mulher está tocando violão e cantando.	2.2
9	main-captions	MSRvid	2012test	16	none	none	Uma pessoa está jogando um gato no teto.	Uma pessoa joga um gato no teto.	5.0
10	main-captions	MSRvid	2012test	17	none	none	O homem bateu no outro homem com um pau.	O homem bateu no outro homem com um pau.	4.2
11	main-captions	MSRvid	2012test	18	none	none	Uma mulher pega e segura um bebê canguru.	Uma mulher pega e segura um canguru bebê nos braços.	4.6
12	main-captions	MSRvid	2012test	19	none	none	Um homem está tocando uma flauta.	Um homem está tocando uma flauta de bambu.	3.867
13	main-captions	MSRvid	2012test	20	none	none	Uma pessoa está dobrando um pedaço de papel.	Alguém está dobrando um pedaço de papel.	4.667
14	main-captions	MSRvid	2012test	21	none	none	Um homem está correndo na estrada.	Um cão panda está correndo na estrada.	1.6669999999999998
15	main-captions	MSRvid	2012test	22	none	none	Um cachorro está tentando tirar bacon das costas.	Um cachorro está tentando comer o bacon nas costas.	3.75
16	main-captions	MSRvid	2012test	25	none	none	O urso polar está deslizando na neve.	Um urso polar está deslizando pela neve.	5.0
17	main-captions	MSRvid	2012test	26	none	none	Uma mulher está escrevendo.	Uma mulher está nadando	0.5
18	main-captions	MSRvid	2012test	28	none	none	Um gato está esfregando o rosto do bebê.	Um gato está esfregando contra um bebê.	3.8
19	main-captions	MSRvid	2012test	29	none	none	O homem está montando um cavalo.	Um homem está montado em um cavalo.	5.0
20	main-captions	MSRvid	2012test	30	none	none	Um homem derrama óleo em uma panela.	Um homem derrama vinho em uma panela.	3.2
21	main-captions	MSRvid	2012test	31	none	none	Um homem está tocando violão.	Uma garota está tocando violão.	2.8
22	main-captions	MSRvid	2012test	32	none	none	Um panda está deslizando por um escorregador.	Um panda desliza um slide.	4.6
23	main-captions	MSRvid	2012test	34	none	none	Uma mulher está comendo alguma coisa.	Uma mulher está comendo carne.	3.0
24	main-captions	MSRvid	2012test	35	none	none	Uma mulher descasca uma batata.	Uma mulher está descascando uma batata.	5.0
25	main-captions	MSRvid	2012test	38	none	none	O garoto caiu de bicicleta.	Um garoto cai de bicicleta.	4.8
26	main-captions	MSRvid	2012test	40	none	none	A mulher está tocando flauta.	Uma mulher está tocando flauta.	5.0
27	main-captions	MSRvid	2012test	42	none	none	Um coelho está fugindo de uma águia.	Uma lebre está fugindo de uma águia.	4.2
28	main-captions	MSRvid	2012test	44	none	none	A mulher está fritando uma costeleta de porco à milanesa.	Uma mulher está cozinhando uma costeleta de porco à milanesa.	4.2
