index	sentence1	sentence2	label
0	Enfiei um alfinete na cenoura. Quando puxei o pino, ele tinha um buraco.	A cenoura tinha um buraco.	1
1	John não podia ver o palco com Billy na frente dele, porque ele é muito baixo.	John é tão baixo.	1
2	A polícia prendeu todos os membros da gangue. Eles estavam tentando parar o comércio de drogas no bairro.	A polícia estava tentando parar o comércio de drogas no bairro.	1
3	Steve segue o exemplo de Fred em tudo. Ele o influencia enormemente.	Steve o influencia enormemente.	0
4	Quando Tatyana chegou à cabana, sua mãe estava dormindo. Teve o cuidado de não perturbá-la, despindo-se e subindo de volta ao seu lugar.	a mãe teve o cuidado de não perturbá-la, despindo-se e subindo de volta ao seu lugar.	0
5	George conseguiu ingressos grátis para a peça, mas deu a Eric, porque estava particularmente ansioso para vê-la.	George estava particularmente ansioso para vê-lo.	0
6	John estava correndo pelo parque quando viu um homem fazendo malabarismos com melancias. Ele foi muito impressionante.	John foi muito impressionante.	0
7	Não pude colocar a panela na prateleira porque era muito alta.	O pote era muito alto.	1
8	Esperávamos colocar cópias de nosso boletim em todas as cadeiras do auditório, mas simplesmente não havia o suficiente.	Simplesmente não havia cópias suficientes do boletim.	1
9	Na competição Loebner, os juízes não conseguiram descobrir quais entrevistados eram os chatbots porque eram muito avançados.	Os juízes eram muito avançados.	0
10	Tirei a garrafa de água da mochila para ficar mais leve.	Tirei a garrafa de água da mochila para que ela fosse mais leve.	1
11	A mesa não passa pela porta porque é muito estreita.	A mesa é muito estreita.	0
12	Tirei a garrafa de água da mochila para que ela fosse útil.	Tirei a garrafa de água da mochila para que ela fosse útil.	0
13	Os bombeiros chegaram atrás da polícia porque estavam vindo de tão longe.	A polícia vinha de tão longe.	0
14	Sempre antes, Larry ajudara papai em seu trabalho. Mas ele não podia ajudá-lo agora, pois papai disse que seu chefe na companhia ferroviária não iria querer ninguém além dele para trabalhar no escritório.	Papai não podia ajudá-lo agora.	0
15	Derramei água da garrafa no copo até ficar vazio.	O copo estava vazio.	0
16	Coloquei o bolo na geladeira. Tem muita manteiga nela.	O bolo tem muita manteiga.	1
17	Lionel está mantendo cativo um cientista, Dr. Vardi, que inventou um dispositivo que torna os animais invisíveis; Lionel planeja usá-lo em Geoffrey e enviá-lo para roubar material nuclear de um cofre do exército.	Lionel planeja usá-lo em Geoffrey e enviar Lionel para roubar material nuclear de um cofre do exército.	0
18	As raposas entram à noite e atacam as galinhas. Eles ficaram muito ousados.	As raposas ficaram muito ousadas.	1
19	Sam puxou uma cadeira para o piano, mas estava quebrada, então ele teve que ficar de pé.	O piano estava quebrado, então ele teve que ficar de pé.	0
20	Jane bateu na porta de Susan, mas ela não obteve resposta.	Susan não obteve resposta.	0
21	Bob estava jogando cartas com Adam e estava muito à frente. Se Adam não tivesse tido uma súbita sorte, ele teria vencido.	Adam teria vencido.	0
22	Coloquei a asa de borboleta em cima da mesa e ela quebrou.	A mesa quebrou.	0
23	Paul tentou ligar para George ao telefone, mas ele não teve sucesso.	Paul não teve sucesso.	1
24	Veja! Há um tubarão nadando logo abaixo daquele pato! É melhor fugir rapidamente para a segurança!	É melhor o tubarão fugir rapidamente para a segurança!	0
25	O troféu não cabe na mala marrom porque é muito grande.	A mala é muito grande.	0
26	O tio de Joe ainda pode vencê-lo no tênis, mesmo tendo 30 anos.	Joe tem 30 anos.	0
27	A grande bola bateu na mesa porque era de aço.	A grande bola foi feita de aço.	1
28	Sam quebrou os tornozelos e ele está andando de muletas. Mas daqui a um mês, eles devem estar melhores.	As muletas devem ser melhores.	0
29	Grant trabalhou duro para colher seus grãos para que ele e sua família tivessem o suficiente para comer naquele inverno. Seu amigo Henry o deixou empilhá-los em seu celeiro, onde secariam. Mais tarde, ele e Tatyana os descascaram e os cozinharam para os jantares de domingo.	Seu amigo Henry o deixou empilhar Grant e sua família em seu celeiro, onde eles secariam.	0
30	Jane bateu na porta e Susan atendeu. Ela a convidou para sair.	Jane a convidou para sair.	1
31	Dan teve que impedir que Bill brincasse com o pássaro ferido. Ele é muito cruel.	Bill é muito cruel.	1
32	Tom disse &quot;Cheque&quot; a Ralph quando ele levou seu bispo.	Tom disse &quot;Cheque&quot; a Ralph quando ele levou o bispo de Ralph.	1
33	Eu pedi um pouco de comida, mais para passar o tempo do que porque eu queria.	Pedi um pouco de comida, mais para passar o tempo do que porque queria comida.	1
34	Joe pagou ao detetive depois de receber o relatório final sobre o caso.	Joe recebeu o relatório final sobre o caso.	1
35	Esperávamos colocar cópias de nossa newsletter em todas as cadeiras do auditório, mas havia simplesmente muitas delas.	Havia simplesmente muitas cópias do boletim.	0
36	Joe vendeu sua casa e comprou uma nova a alguns quilômetros de distância. Ele vai entrar na quinta-feira.	Ele vai se mudar para a nova casa na quinta-feira.	1
37	Sempre antes, Larry ajudara papai em seu trabalho. Mas ele não podia ajudá-lo agora, pois papai disse que seu chefe na companhia ferroviária não iria querer ninguém além dele para trabalhar no escritório.	Ele não podia ajudar papai agora.	1
38	A mesa estava cheia de comida e no chão ao lado havia jarras, cestos e um balde de cinco litros de leite.	Ao lado da mesa, havia vasilhas, cestas e um balde de cinco litros de leite.	1
39	Jim confortou Kevin porque ele estava muito chateado.	Kevin estava tão chateado.	1
40	Jackson foi bastante influenciado por Arnold, embora tenha vivido dois séculos antes.	Arnold viveu dois séculos antes.	1
41	Há um pilar entre mim e o palco, e eu não consigo enxergar em volta.	Eu não posso ver ao redor do palco.	0
42	Os arqueólogos concluíram que os seres humanos viviam em Laputa há 20.000 anos. Eles caçavam cervos nas margens do rio.	Humanos pré-históricos caçavam cervos nas margens do rio.	1
43	Sam e Amy estão apaixonadamente apaixonados, mas os pais de Amy estão descontentes com isso, porque são esnobes.	Os pais de Amy são esnobes.	1
44	Bill passou o prato meio vazio para John porque estava com fome.	John estava com fome.	1
45	Sara pegou emprestado o livro da biblioteca porque precisa dele para um artigo em que está trabalhando. Ela escreve quando chega em casa do trabalho.	Ela escreve o livro quando chega em casa do trabalho.	0
46	John prometeu a Bill sair, então uma hora depois ele foi embora.	Bill saiu.	0
47	Sara pegou emprestado o livro da biblioteca porque precisa dele para um artigo em que está trabalhando. Ela lê quando chega em casa do trabalho.	Ela lê o artigo quando chega em casa do trabalho.	0
48	Mark ouviu os pés de Steve descendo a escada. A porta da loja se fechou atrás dele. Ele correu para olhar pela janela.	A porta da loja se fechou atrás de Steve.	1
49	Fred é o único homem vivo que ainda se lembra de meu pai quando criança. Quando Fred viu meu pai pela primeira vez, ele tinha doze anos.	Quando Fred viu meu pai, ele tinha doze anos.	0
50	Tatyana sabia que a avó sempre gostava de servir uma abundância de comida para seus convidados. Agora Tatyana viu a avó reunir a mãe pequena de Tatyana em um abraço largo e esquelético e depois a empurrou para a mesa, erguendo o xale dos ombros, sentando-a no lugar de honra e dizendo simplesmente: &quot;Há muito&quot;.	Vovó juntou a mãe pequena de Tatyana em um abraço largo e esquelético e depois jogou a vovó para a mesa.	0
51	Fred assistia TV enquanto George saía para comprar mantimentos. Depois de uma hora ele voltou.	George voltou.	1
52	Lily falou com Donna, quebrando sua concentração.	Lily falou com Donna, quebrando a concentração de Donna.	1
53	Embora eles corressem na mesma velocidade, Sue venceu Sally porque ela teve um péssimo começo.	Sue teve um começo tão ruim.	0
54	Madonna demitiu seu treinador porque não suportava o namorado.	Ela não suportava o namorado de Madonna.	0
55	Não posso cortar essa árvore com aquele machado; é muito pequeno.	O machado é muito pequeno.	1
56	Madonna demitiu seu treinador porque dormiu com o namorado.	Ela dormiu com o namorado de Madonna.	1
