Quality	#1 ID	#2 ID	#1 String	#2 String
1	702876	702977	Amrozi acusou seu irmão, a quem chamou de &quot;testemunha&quot;, de distorcer deliberadamente suas evidências.	Referindo-se a ele como apenas &quot;a testemunha&quot;, Amrozi acusou seu irmão de distorcer deliberadamente suas evidências.
0	2108705	2108831	Yucaipa possuía a Dominick &#39;s antes de vender a rede para a Safeway em 1998 por US $ 2,5 bilhões.	Yucaipa comprou a Dominick em 1995 por US $ 693 milhões e a vendeu à Safeway por US $ 1,8 bilhão em 1998.
1	1330381	1330521	Eles publicaram um anúncio na Internet em 10 de junho, oferecendo a carga à venda, acrescentou.	Em 10 de junho, os proprietários do navio haviam publicado um anúncio na Internet, oferecendo os explosivos à venda.
0	3344667	3344648	Por volta de 0335 GMT, as ações da Tab subiram 19 centavos, ou 4,4%, para A $ 4,56, tendo anteriormente estabelecido um recorde de A $ 4,57.	As ações da Tab saltaram 20 centavos, ou 4,6%, para estabelecer um recorde de alta de A $ 4,57.
1	1236820	1236712	As ações subiram US $ 2,11, ou cerca de 11%, para fechar sexta-feira a US $ 21,51 na Bolsa de Nova York.	As ações da PG &amp; E Corp subiram US $ 1,63 ou 8%, para US $ 21,03 na Bolsa de Nova York na sexta-feira.
1	738533	737951	A receita no primeiro trimestre do ano caiu 15% em relação ao mesmo período do ano anterior.	Com o escândalo pairando sobre a empresa de Stewart, a receita do primeiro trimestre do ano caiu 15% em relação ao mesmo período do ano anterior.
0	264589	264502	O Nasdaq teve um ganho semanal de 17,27, ou 1,2%, fechando às 1.520,15 na sexta-feira.	O Nasdaq Composite .IXIC subiu 30,46 pontos, ou 2,04 por cento, para 1.520,15.
1	579975	579810	O DVD-CCA então apelou para a Suprema Corte do estado.	O DVD CCA recorreu dessa decisão para a Suprema Corte dos EUA.
0	3114205	3114194	Isso comparado a US $ 35,18 milhões, ou 24 centavos por ação, no mesmo período do ano passado.	Os ganhos foram afetados por um benefício fiscal não recorrente de US $ 8 milhões no período do ano anterior.
0	222621	222514	As ações da Genentech, uma empresa muito maior com vários produtos no mercado, aumentaram mais de 2%.	As ações da Xoma caíram 16% no início do pregão, enquanto as ações da Genentech, uma empresa muito maior com vários produtos no mercado, subiram 2%.
0	3131772	3131625	A legislação que tornou mais difícil para os consumidores apagar suas dívidas no tribunal de falências conquistou a aprovação esmagadora da Câmara em março.	A legislação que dificulta que os consumidores apaguem suas dívidas no tribunal de falências ganhou a aprovação rápida da Câmara em março e foi endossada pela Casa Branca.
0	58747	58516	O índice composto Nasdaq aumentou 10,73, ou 0,7%, para 1.514,77.	O índice Nasdaq Composite, cheio de ações de tecnologia, subiu recentemente em torno de 18 pontos.
1	1464126	1464107	Mas ele acrescentou que o desempenho do grupo melhoraria na segunda metade do ano e além.	De Sole disse na declaração de resultados que o desempenho do grupo melhoraria na segunda metade do ano e além.
1	771416	771467	Ele disse ao jornal The Sun que as filhas de Hussein tinham escolas e hospitais britânicos em mente quando decidiram pedir asilo.	&quot;As filhas de Saddam tinham escolas e hospitais britânicos em mente quando decidiram pedir asilo - especialmente as escolas&quot;, disse ele ao The Sun.
